                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                 1.0223,                0.70973,                 1.0073,                0.27354,                0.29184,                0.26433,                0.19122,                 1.9146,                 2.0866,                 1.4398,              0.0006725,              0.0006725,              0.0006725
                    142,                0.99235,                0.69728,                0.98299,                0.25639,                 0.2616,                0.26755,                 0.1945,                  1.827,                 2.0521,                 1.4591,             0.00066838,             0.00066838,             0.00066838
                    143,                0.99904,                 0.6904,                0.96493,                0.31581,                0.29013,                0.27475,                0.19901,                 1.8176,                 1.9448,                 1.4091,             0.00066425,             0.00066425,             0.00066425
                    144,                 1.0017,                0.69286,                0.96866,                0.29081,                0.28031,                0.28198,                0.19681,                 1.8303,                 1.8417,                 1.4564,             0.00066013,             0.00066013,             0.00066013
                    145,                0.97233,                0.67968,                0.95905,                0.35774,                0.29846,                0.29137,                0.20247,                 1.8861,                 1.8136,                 1.4468,               0.000656,               0.000656,               0.000656
                    146,                0.95466,                0.66883,                0.97764,                0.32167,                0.30753,                0.30882,                0.20997,                  1.886,                 1.8421,                 1.4246,             0.00065188,             0.00065188,             0.00065188
                    147,                  1.011,                0.67554,                0.97387,                0.26242,                0.30114,                0.27965,                0.19953,                  1.904,                 1.7673,                  1.414,             0.00064775,             0.00064775,             0.00064775
                    148,                0.92557,                 0.6477,                0.96322,                0.28209,                0.28982,                0.27619,                0.19827,                 1.8927,                 1.8014,                 1.4208,             0.00064362,             0.00064362,             0.00064362
                    149,                0.94487,                 0.6488,                0.96795,                0.24293,                 0.2879,                0.26256,                0.19127,                 1.8997,                 1.8053,                 1.5054,              0.0006395,              0.0006395,              0.0006395
                    150,                0.97896,                0.66424,                0.98098,                0.28895,                0.30152,                0.26665,                0.18776,                 1.8881,                 1.8422,                 1.4945,             0.00063538,             0.00063538,             0.00063538
